b2ret;b10ret
0.001144;-0.0124
-0.001417;-0.009797
0.006842000000000001;0.013598
0.006593000000000001;0.034752
0.001496;-0.010026
0.004925000000000001;0.001771
0.011403;0.022074
0.006752;0.00464
0.007772;0.016603
0.007983;-0.001323
0.006054;0.008647
0.010289;0.025641
0.012919;0.030723
0.013519;0.004164
0.006873000000000001;0.011636
0.007193000000000001;0.00275
0.002154;-0.027449
0.005381;0.001373
0.003227;0.002161
0.01311;0.030526
0.007129000000000001;0.015065
0.017807;0.022599
0.012043;0.031821
-0.005276;-0.035211
0.00025;-0.017354
0.002636;0.004609
0.0054;0.012027
-0.008508;-0.03679
0.013578;0.029382
0.004414;0.008136000000000001
0.009430000000000001;0.021555
0.015878;0.03077
0.004572000000000001;0.030178
0.010277;0.04689
0.002358;-0.020221
-0.005049000000000001;-0.021163
0.011089;0.035968
0.000875;-0.008285
0.005203;0.02623
0.0019;-0.005651000000000001
0.001626;-6.9e-05
0.004609;0.042443
0.0022;-0.009082
-0.006811;-0.066819
-0.002283;0.004672
0.01215;0.046768
-0.0051;-0.024426
-0.001446;0.001662
0.006885;0.010311
0.002965;0.012966
0.00532;0.017481
0.003441;0.014353
-0.012968;-0.04909
-0.001439;-0.006666
0.000646;0.010107
0.003181;0.01208
0.008366;0.032183
-0.001396;0.002804
0.003467;0.011144
-0.00572;-0.017663
0.001828;0.013398
-0.000905;0.009351
-0.002707;-0.013112
0.000109;-0.004518
0.006062000000000001;0.026104
0.004763;0.018363
0.001778;0.009046
-0.004307;-0.021346
0.007228;0.020806
-0.003314;-0.018281
-0.000763;-0.011898
0.003289;0.006295
0.003983;0.011198
0.001664;-0.004563
0.000597;0.000153
0.001006;-0.019782
0.002915;-0.008795
0.001361;-0.001047
0.0015;0.003077
0.008253;0.016418
0.0073;0.021575
0.004989;0.011343
0.003894;0.007074
0.005344000000000001;0.013674
-0.0006050000000000001;-0.015746
0.001951;-0.0036
0.008344;0.019999
0.004382;-0.002247
0.003723;0.006799
-0.001889;-0.014483
0.004189;-0.006804
0.010287;0.023884
0.010008;0.01713
0.006878;-0.00044
0.004278000000000001;0.013082
0.020658;0.044192
0.001824;-0.003627
0.020304;0.038355
0.009926;0.009265
0.003037;0.011256
-0.012268;-0.016442
-0.005992000000000001;-0.018756
0.003551;0.010754
0.00523;0.005155000000000001
0.004534000000000001;0.015313
0.010026;0.000875
0.012592;-0.028592
0.012121;0.085378
0.006517;0.056872
-0.004086;-0.044454
-0.000711;-0.00192
0.005159;0.03291
-0.001117;-0.035782
0.000831;-0.016442
-0.002294;0.002851
0.00192;0.008263000000000001
0.004433;0.010147
0.002416;0.010322
0.002946;-0.003575
0.006743000000000001;0.018977
-0.006970000000000001;-0.037937
0.008927000000000001;0.020794
0.001837;0.002013
-0.001592;-0.014015
0.002381;0.016503
0.005645000000000001;0.025297
0.004265000000000001;0.033851
0.001881;0.007935000000000001
0.001747;0.035527
